0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036: ReferencePressure(Pa): 95825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
now (ms),fps,gpsTime,gpsLat (deg),gpsLon (deg),gpsAlt (m),gpsHead (deg),gpsSpeed (m/s),gpsSats,bmpTemp (deg C),bmpPressure (Pa),bmpAlt (m),thermistor0 (deg C),thermistor1 (deg C),thermistor2 (deg C),thermistor3 (deg C),thermistor4 (deg C),tmp0 (deg C),tmp1 (deg C),gyroTemp (deg C),accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),angVelX (deg/s),angVelY (deg/s),angVelZ (deg/s),magX (Gauss),magY (Gauss),magZ (Gauss)
1076: XTendAPI: Going to ENextSection::Failure because of unhandled API Identifier 138!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084: XTendAPI: In failure state with 1 bytes remaining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,1,59:48.0,24,121,0,0,0,0,35,95806,1.675,19.542,13.741,2.688,1.976,3.492,37.437,35.812,33.871,0.122729,0.632921,-10.426845,-5.034879,-4.322941,5.666306,25.205385,-0.000769,-0.000769
2046,99,59:48.5,24,121,0,0,0,0,35,95816,0.793,3.292,3.492,-0.116,-0.438,1.15,37.375,35.875,34.104,0.14215,0.744013,-10.539738,-5.68149,-4.915675,6.408709,25.205385,-0.000769,-0.000769
2551,99,59:49.0,24,121,0,0,0,0,35.1,95817,0.705,1.045,1.357,-1.088,-1.307,0.31,37.437,35.875,34.1,0.147101,0.743857,-10.529209,-5.850675,-5.274331,6.529222,25.205385,-0.000769,-0.000769
3054,107,59:49.5,24,121,0,0,0,0,35,95815,0.883,-0.009,0.31,-1.858,-2.08,-0.545,37.437,35.937,34.121,0.143584,0.758248,-10.512696,-5.794579,-5.120621,6.593411,25.205385,-0.000769,-0.000769
3556,107,59:50.0,24,121,0,0,0,0,35.1,95818,0.618,-0.116,0.097,-1.747,-2.08,-0.545,37.5,35.937,34.236,0.15021,0.728091,-10.560506,-5.904286,-4.91559,6.592739,25.205385,-0.000769,-0.000769
4060,107,59:50.5,24,121,0,0,0,0,35,95807,1.585,-0.653,-0.545,-2.529,-2.869,-1.197,37.437,35.937,34.136,0.137922,0.705554,-10.535992,-5.826682,-4.966899,6.649538,25.205385,-0.000769,-0.000769
4562,107,59:51.0,24,121,0,0,0,0,35,95807,1.585,0.626,0.941,-0.87,-1.197,0.203,37.375,36,34.321,0.134241,0.723714,-10.520673,-5.80311,-5.431933,6.687822,25.205385,-0.000769,-0.000769
5065,106,59:51.5,24,121,0,0,0,0,35,95810,1.321,-0.762,-0.545,-2.192,-2.529,-0.87,37.312,35.937,34.114,0.103846,0.745104,-10.528183,-5.772991,-5.662358,6.684514,25.205385,-0.000769,-0.000769
5565,106,59:52.0,24,121,0,0,0,0,35,95804,1.85,-0.979,-0.762,-2.416,-2.642,-0.979,37.375,35.937,34.311,0.122964,0.739876,-10.545787,-5.701507,-5.689628,6.683136,25.205385,-0.000769,-0.000769
6065,106,59:52.5,24,121,0,0,0,0,35,95799,2.291,-1.088,-0.87,-2.755,-2.983,-1.197,37.375,35.937,34.279,0.139284,0.74773,-10.540069,-5.874311,-5.790947,6.717882,25.205385,-0.000769,-0.000769
6566,106,59:53.0,24,121,0,0,0,0,35,95802,2.027,-0.979,-0.762,-2.529,-2.869,-1.197,37.375,35.937,34.393,0.128261,0.684135,-10.489653,-5.878797,-5.931692,6.655267,25.205385,-0.000769,-0.000769
7073,106,59:53.5,24,121,0,0,0,0,35,95794,2.732,-1.088,-0.87,-2.869,-3.096,-1.416,37.375,35.937,34.375,0.111199,0.728122,-10.513936,-5.931451,-5.832555,6.658809,25.205385,-0.000769,-0.000769
7574,106,59:54.0,24,121,0,0,0,0,35,95803,1.939,-1.307,-1.088,-3.096,-3.441,-1.747,37.375,35.937,34.354,0.072963,0.751267,-10.533438,-5.853671,-5.379873,6.713529,25.205385,-0.000769,-0.000769
8080,107,59:54.5,24,121,0,0,0,0,35,95800,2.204,1.667,2.078,-0.116,-0.545,0.521,37.375,36,34.446,0.060124,0.722896,-10.521586,-5.832256,-5.457361,6.681078,25.205385,-0.000769,-0.000769
8580,107,59:55.0,24,121,0,0,0,0,35,95809,1.411,-0.438,-0.009,-2.416,-2.755,-0.979,37.375,36,34.425,0.110436,0.654414,-10.617283,-6.034836,-5.383727,6.736022,25.205385,-0.000769,-0.000769
9081,105,59:55.5,24,121,0,0,0,0,35,95802,2.027,-1.416,-1.088,-2.529,-2.869,-1.197,37.375,36,34.489,0.117147,0.68396,-10.612023,-5.315615,-5.675597,6.899652,25.205385,-0.000769,-0.000769
9582,105,59:56.0,24,121,0,0,0,0,35,95799,2.291,-0.33,-0.009,-1.969,-2.416,-0.762,37.312,36,34.493,0.072391,0.64753,-10.588779,-5.925279,-4.931142,6.903433,25.205385,-0.000769,-0.000769
10089,107,59:56.5,24,121,0,0,0,0,35,95804,1.85,-2.529,-2.304,-4.138,-4.374,-2.304,37.312,36,34.539,0.125511,0.739094,-10.536168,-5.926484,-6.195091,6.930153,25.205385,-0.000769,-0.000769
10597,107,59:57.0,24,121,0,0,0,0,34.9,95792,2.907,-1.416,-1.197,-3.096,-3.441,-1.637,37.25,36,34.582,0.076382,0.438049,-10.575724,-5.302241,-5.590824,7.648275,25.205385,-0.000769,-0.000769
11097,106,59:57.5,24,121,0,0,0,0,34.9,95805,1.762,-1.969,-1.747,-3.672,-4.138,-2.192,37.25,36,34.586,0.085946,0.513449,-10.577718,-5.246052,-5.751146,7.264006,25.205385,-0.000769,-0.000769
11603,106,59:58.0,24,121,0,0,0,0,34.9,95789,3.171,-1.416,-1.197,-3.211,-3.788,-1.969,37.187,35.937,34.604,0.030438,0.628379,-10.593485,-4.648656,-6.279783,13.383403,25.205385,-0.000769,-0.000769
12103,106,59:58.5,24,121,0,0,0,0,34.9,95796,2.555,-2.529,-2.304,-4.021,-4.61,-2.642,37.062,36,34.546,0.095205,0.609192,-10.598369,-5.788547,-5.053502,4.38015,25.205385,-0.000769,-0.000769
12610,106,59:59.1,24,121,0,0,0,0,34.9,95798,2.378,-1.526,-0.979,-3.211,-3.672,-1.969,37.125,36,34.575,0.080585,0.657757,-10.616537,-7.032614,-6.537906,7.067906,25.205385,-0.000769,-0.000769
13117,106,59:59.6,24,121,0,0,0,0,34.9,95803,1.939,-1.307,-0.979,-2.529,-2.755,-0.979,37.187,36.062,34.629,0.099202,0.801777,-10.646317,-8.590363,-5.764886,11.418295,25.205385,-0.000769,-0.000769
13622,106,00:00.1,24,121,0,0,0,0,34.9,95803,1.939,-2.304,-2.08,-4.256,-4.729,-2.642,37.187,36.125,34.618,0.057488,0.876697,-10.624064,-2.876832,-6.279224,8.95546,25.205385,-0.000769,-0.000769
14130,107,00:00.6,24,121,0,0,0,0,34.9,95790,3.084,-2.08,-1.858,-3.905,-4.256,-2.304,37.125,36.125,34.696,0.057671,0.829596,-10.592974,-4.785031,-6.769137,5.962908,25.205385,-0.000769,-0.000769
14631,107,00:01.1,24,121,0,0,0,0,34.9,95802,2.027,-2.08,-1.858,-4.138,-4.729,-2.869,37.062,36.062,34.7,0.003106,0.642802,-10.579916,-3.600826,-6.060794,8.909842,25.205385,-0.000769,-0.000769
15132,107,00:01.6,24,121,0,0,0,0,34.9,95792,2.907,-2.304,-2.192,-4.138,-4.61,-2.755,36.937,36.062,34.839,-0.027143,0.587523,-10.57446,-5.926061,-5.642458,7.034257,25.205385,-0.000769,-0.000769
15636,107,00:02.1,24,121,0,0,0,0,34.8,95786,3.435,-2.416,-2.304,-4.021,-4.374,-2.304,36.875,36.062,34.693,-0.054166,0.847277,-10.591035,-6.800452,-7.788419,2.291316,25.205385,-0.000769,-0.000769
16136,106,00:02.6,24,121,0,0,0,0,34.8,95797,2.465,-2.192,-2.192,-4.021,-4.492,-2.416,36.875,36.062,34.639,-0.234361,0.719208,-10.576725,-3.320205,-5.625333,9.787732,25.205385,-0.000769,-0.000769
16644,106,00:03.1,24,121,0,0,0,0,34.8,95794,2.732,-2.416,-2.08,-3.905,-4.374,-2.416,36.812,36.125,34.582,-0.196076,0.306206,-10.589953,-5.295649,-7.588992,11.094716,25.205385,-0.000769,-0.000769
17148,107,00:03.6,24,121,0,0,0,0,34.9,95799,2.291,-1.637,-1.416,-3.441,-3.788,-1.858,36.812,36.125,34.486,-0.244171,0.197329,-10.597051,-7.614338,-2.476048,3.529006,25.205385,-0.000769,-0.000769
17654,107,00:04.1,24,121,0,0,0,0,34.8,95790,3.084,-1.747,-1.637,-3.672,-4.138,-2.08,36.812,36.062,34.475,-0.051324,0.346439,-10.621236,-5.760536,-4.501929,5.604635,25.205385,-0.000769,-0.000769
18160,106,00:04.6,24,121,0,0,0,0,34.9,95801,2.114,-2.529,-2.304,-4.256,-4.61,-2.642,36.812,36,34.55,-0.020026,0.368163,-10.626935,-4.733968,-5.509092,6.55122,25.205385,-0.000769,-0.000769
18666,106,00:05.1,24,121,0,0,0,0,34.8,95800,2.204,3.89,1.667,-3.211,-3.905,-2.08,36.812,35.937,34.496,-0.045195,0.325301,-10.578866,-6.215171,-5.649587,6.656778,25.205385,-0.000769,-0.000769
19173,107,00:05.6,24,121,0,0,0,0,34.9,95804,1.85,-1.197,-1.307,-3.672,-4.256,-2.192,36.875,35.937,34.546,-0.130207,0.388191,-10.61131,-8.448336,-6.008951,0.60858,25.205385,-0.000769,-0.000769
19681,107,00:06.1,24,121,0,0,0,0,34.9,95800,2.204,-2.304,-2.08,-4.256,-4.61,-2.642,36.812,35.875,34.607,-0.186614,0.479344,-10.561674,-5.019245,-6.863065,5.333591,25.205385,-0.000769,-0.000769
20188,106,00:06.6,24,121,0,0,0,0,34.9,95802,2.027,-2.642,-2.416,-4.374,-4.848,-2.642,36.875,35.875,34.614,-0.278982,0.447562,-10.572956,-6.799821,-4.007819,6.141262,25.205385,-0.000769,-0.000769
20690,106,00:07.1,24,121,0,0,0,0,34.9,95798,2.378,-1.858,-1.747,-4.021,-4.492,-2.416,36.812,35.875,34.632,-0.195128,0.541991,-10.604109,-5.933453,-3.541414,4.143001,25.205385,-0.000769,-0.000769
21197,107,00:07.6,24,121,0,0,0,0,34.9,95795,2.642,-2.755,-2.529,-4.492,-4.968,-2.983,36.875,35.937,34.618,-0.318222,0.411361,-10.659807,-5.997171,-6.996372,12.664806,25.205385,-0.000769,-0.000769
21698,107,00:08.1,24,121,0,0,0,0,34.9,95799,2.291,-3.211,-2.983,-5.208,-5.816,-3.556,36.875,35.875,34.65,-0.204822,0.469872,-10.613767,-6.539806,-6.575231,11.783329,25.205385,-0.000769,-0.000769
22206,106,00:08.6,24,121,0,0,0,0,34.9,95795,2.642,-2.755,-2.529,-4.848,-5.572,-3.441,36.937,35.875,34.668,-0.19619,0.414086,-10.606392,-5.761616,-3.305492,6.950884,25.205385,-0.000769,-0.000769
22713,106,00:09.2,24,121,0,0,0,0,34.9,95797,2.465,-2.983,-2.755,-5.088,-5.693,-3.672,36.875,35.937,34.664,-0.201594,0.421027,-10.576152,-6.371265,-4.200363,6.67322,25.205385,-0.000769,-0.000769
23216,106,00:09.7,24,121,0,0,0,0,34.9,95803,1.939,-1.307,-0.762,-3.672,-4.374,-2.529,36.937,35.937,34.604,-0.099287,0.475014,-10.495125,-7.249377,-4.427818,7.864022,25.205385,-0.000769,-0.000769
23721,106,00:10.2,24,121,0,0,0,0,34.9,95793,2.819,-2.08,-2.08,-3.905,-4.374,-2.416,37,36,34.732,-0.046522,0.544939,-10.611712,-7.533255,-5.306667,7.72494,25.205385,-0.000769,-0.000769
24229,106,00:10.7,24,121,0,0,0,0,34.9,95798,2.378,-0.33,0.31,-3.441,-3.905,-1.969,37.062,36.125,34.732,-0.14149,0.746021,-10.561052,-4.731918,-3.037072,6.545886,25.205385,-0.000769,-0.000769
24732,106,00:11.2,24,121,0,0,0,0,34.9,95807,1.585,-2.08,-1.637,-4.256,-4.61,-2.529,37.062,36.125,34.729,-0.12356,0.91277,-10.570862,-5.384325,-5.546314,12.365502,25.205385,-0.000769,-0.000769
25237,106,00:11.7,24,121,0,0,0,0,34.9,95804,1.85,-3.326,-3.441,-5.088,-5.693,-3.556,37,36.062,34.868,-0.030735,0.686811,-10.594047,-5.007828,-4.646331,7.216418,25.205385,-0.000769,-0.000769
25741,106,00:12.2,24,121,0,0,0,0,34.9,95794,2.732,-3.905,-4.138,-5.329,-5.329,-2.755,37,36,34.946,-0.028632,0.56759,-10.573524,-4.537761,-4.818004,5.520348,25.205385,-0.000769,-0.000769
26242,107,00:12.7,24,121,0,0,0,0,34.9,95804,1.85,-3.672,-3.326,-5.208,-5.45,-3.096,36.937,36,34.982,-0.035202,0.565305,-10.574674,-5.760428,-4.989421,6.304106,25.205385,-0.000769,-0.000769
26742,107,00:13.2,24,121,0,0,0,0,34.9,95799,2.291,-9.154,-9.289,-12.418,-14.273,-10.673,36.875,36,34.757,0.099983,0.625618,-10.477307,-5.2135,-4.901296,7.153903,25.205385,-0.000769,-0.000769
27244,107,00:13.7,24,121,0,0,0,0,34.9,95799,2.291,1.254,0.731,2.384,3.492,4.775,36.812,35.937,35.014,-0.181165,0.42333,-10.471162,-3.752961,-5.728069,3.472802,25.205385,-0.000769,-0.000769
27746,107,00:14.2,24,121,0,0,0,0,34.9,95803,1.939,-0.762,-0.33,-3.905,-4.492,-2.529,36.75,36,34.8,-0.132203,0.423337,-10.6132,-9.263355,-7.06322,-7.0051,25.205385,-0.000769,-0.000769
28252,106,00:14.7,24,121,0,0,0,0,34.9,95801,2.114,1.564,1.873,-1.526,-2.08,-0.438,36.75,36,34.696,-0.486551,0.634034,-10.531218,-9.959524,-5.380127,-1.747397,25.205385,-0.000769,-0.000769
28759,106,00:15.2,24,121,0,0,0,0,34.9,95788,3.258,-1.858,-1.197,-3.905,-4.374,-2.304,36.812,36.062,35.039,-0.27543,0.870464,-10.588706,-5.905469,-5.411172,9.696474,25.205385,-0.000769,-0.000769
29267,106,00:15.7,24,121,0,0,0,0,34.9,95801,2.114,-1.416,-1.307,-2.642,-2.642,-0.653,36.75,36.125,34.8,-0.535507,1.181628,-10.464548,-6.143538,-5.370101,10.559611,25.205385,-0.000769,-0.000769
29771,106,00:16.2,24,121,0,0,0,0,34.9,95793,2.819,-0.438,0.521,-3.326,-4.138,-2.304,36.812,36.125,35.036,-0.125668,0.714003,-10.593416,-2.337241,-5.112705,7.029394,25.205385,-0.000769,-0.000769
30273,106,00:16.7,24,121,0,0,0,0,34.9,95800,2.204,-4.256,-4.138,-5.816,-6.309,-3.905,36.75,36.125,34.989,-0.168232,0.765346,-10.605718,-6.021758,-4.390355,10.510561,25.205385,-0.000769,-0.000769
30778,106,00:17.2,24,121,0,0,0,0,34.9,95791,2.994,-1.526,-1.088,-3.905,-4.374,-2.416,36.687,36.187,35.014,-0.014594,0.701187,-10.629056,-3.863912,-5.765927,8.90684,25.205385,-0.000769,-0.000769
31278,107,00:17.7,24,121,0,0,0,0,34.9,95801,2.114,-2.869,-2.642,-4.968,-5.329,-3.211,36.75,36.187,34.804,-0.114396,0.612938,-10.607889,-6.46883,-6.242563,8.481003,25.205385,-0.000769,-0.000769
31787,107,00:18.2,24,121,0,0,0,0,34.9,95802,2.027,-3.788,-3.905,-5.572,-5.939,-3.556,36.75,36.25,35.036,-0.056644,0.586192,-10.512959,-5.467529,-5.754738,8.714224,25.205385,-0.000769,-0.000769
32287,106,00:18.7,24,121,0,0,0,0,34.9,95791,2.994,-2.529,-2.416,-4.256,-4.729,-2.529,36.75,36.187,35.018,0.058744,0.735622,-10.544192,-5.65314,-4.869018,10.60343,25.205385,-0.000769,-0.000769
32788,106,00:19.2,24,121,0,0,0,0,34.9,95791,2.994,0.415,1.357,-2.983,-3.672,-1.969,36.687,36.125,34.793,0.008914,0.574234,-10.669409,-3.583744,-9.690289,6.188156,25.205385,-0.000769,-0.000769
33289,106,00:19.7,24,121,0,0,0,0,34.9,95791,2.994,-3.788,-3.672,-5.329,-5.693,-3.441,36.687,36.125,35.032,-0.142389,0.549048,-10.612458,-5.036093,-5.776592,4.471448,25.205385,-0.000769,-0.000769
33789,106,00:20.2,24,121,0,0,0,0,34.9,95800,2.204,-2.869,-2.642,-4.968,-5.45,-3.096,36.625,36,35.036,-0.14831,0.54871,-10.534022,-4.944116,-5.510427,7.295432,25.205385,-0.000769,-0.000769
34295,106,00:20.7,24,121,0,0,0,0,34.9,95797,2.465,-4.256,-4.256,-5.939,-6.434,-3.905,36.625,36,35.036,-0.196965,0.330151,-10.575484,-5.069889,-5.37265,6.740446,25.205385,-0.000769,-0.000769
34798,106,00:21.2,24,121,0,0,0,0,34.9,95798,2.378,-4.492,-4.374,-5.816,-6.309,-3.905,36.687,36,35.039,-0.257461,0.403761,-10.574649,-4.141551,-7.32094,11.979696,25.205385,-0.000769,-0.000769
35301,106,00:21.7,24,121,0,0,0,0,35,95803,1.939,-5.329,-5.45,-6.684,-6.935,-4.374,36.625,36.062,35.011,-0.42853,0.355537,-10.464301,-3.996253,-6.619131,10.784352,25.205385,-0.000769,-0.000769
35805,106,00:22.2,24,121,0,0,0,0,35,95800,2.204,-3.788,-3.672,-5.693,-6.062,-3.788,36.562,36.062,34.961,-0.498212,0.137584,-10.484298,-4.271762,-6.151754,5.19449,25.205385,-0.000769,-0.000769
36311,105,00:22.8,24,121,0,0,0,0,35,95798,2.378,-3.441,-3.326,-5.329,-5.939,-3.672,36.562,36.062,35.018,-0.796793,0.345697,-10.503912,-5.951618,-11.349112,8.881105,25.205385,-0.000769,-0.000769
36819,105,00:23.3,24,121,0,0,0,0,35,95806,1.675,-3.211,-3.096,-4.968,-5.45,-3.211,36.562,36.125,34.9,-0.983423,0.134471,-10.550283,-5.588848,-4.93334,19.877769,25.205385,-0.000769,-0.000769
37321,106,00:23.8,24,121,0,0,0,0,35,95811,1.234,-3.672,-3.556,-5.45,-5.816,-3.556,36.562,36.125,35.029,-0.850717,0.381538,-10.563271,-6.194653,-6.849153,9.192784,25.205385,-0.000769,-0.000769
37828,106,00:24.3,24,121,0,0,0,0,35,95807,1.585,34.464,45.39,20.241,16.3,13.028,36.562,36.187,35.036,-0.485376,0.557109,-10.580968,-8.92322,7.305356,-15.253522,25.205385,-0.000769,-0.000769
38335,106,00:24.8,24,121,0,0,0,0,35,95810,1.321,6.511,11.323,1.564,0.415,1.976,36.562,36.25,35.018,-0.06161,0.724272,-10.645733,-8.145874,-5.064391,4.023911,25.205385,-0.000769,-0.000769
38843,106,00:25.3,24,121,0,0,0,0,35,95817,0.705,-4.374,-3.441,-6.935,-7.445,-4.61,36.625,36.375,35.011,0.01057,0.885823,-10.589991,-5.589816,-4.953021,4.131883,25.205385,-0.000769,-0.000769
39345,107,00:25.8,24,121,0,0,0,0,35,95808,1.498,-3.326,-2.642,-6.309,-7.062,-4.61,36.625,36.437,35.039,-0.00487,0.875378,-10.579338,-6.929461,-5.232043,11.837152,25.205385,-0.000769,-0.000769
39854,107,00:26.3,24,121,0,0,0,0,35,95816,0.793,-4.138,-3.441,-6.309,-6.809,-4.256,36.75,36.5,35.025,0.025474,0.728519,-10.576948,-5.179286,-5.404979,7.323477,25.205385,-0.000769,-0.000769
40356,106,00:26.8,24,121,0,0,0,0,35,95808,1.498,-2.642,-2.08,-5.088,-5.088,-2.642,36.75,36.5,35.014,0.044253,0.793202,-10.463556,-5.576521,-5.214269,6.718069,25.205385,-0.000769,-0.000769
40864,106,00:27.3,24,121,0,0,0,0,33.8,95551,24.15,-5.208,-4.61,-7.062,-7.445,-4.729,36.812,36.625,35.054,0.017071,0.5321,-10.529116,3.465332,-6.44423,0.119738,25.205385,-0.000769,-0.000769
41372,106,00:27.8,24,121,0,0,0,0,35.1,95814,0.97,-3.326,-2.642,-5.208,-5.816,-3.441,36.812,36.625,35,0.063307,0.211497,-10.510864,-4.082645,-3.908038,8.489681,25.205385,-0.000769,-0.000769
41880,106,00:28.3,24,121,0,0,0,0,35.1,95815,0.883,-0.762,-0.87,-2.755,-2.983,-1.197,36.875,36.625,35.025,-0.059915,0.607362,-10.516602,-4.665478,-4.76203,6.824262,25.205385,-0.000769,-0.000769
42387,106,00:28.8,24,121,0,0,0,0,35.1,95812,1.147,-3.556,-3.211,-5.329,-5.939,-3.905,37,36.687,35.036,-0.050679,0.582512,-10.505818,-8.292002,-5.642758,7.187114,25.205385,-0.000769,-0.000769
42890,106,00:29.3,24,121,0,0,0,0,35.1,95811,1.234,-8.619,-11.243,-8.223,-7.831,-4.61,37,36.687,35.218,-0.035107,0.594528,-10.497973,-4.881379,-4.733843,7.200563,25.205385,-0.000769,-0.000769
43398,107,00:29.8,24,121,0,0,0,0,35.1,95822,0.264,-23.567,-36.919,-16.779,-14.919,-9.698,37,36.625,35.214,-0.137297,0.384504,-10.686415,-11.843912,-5.624619,8.195564,25.205385,-0.000769,-0.000769
43906,107,00:30.3,24,121,0,0,0,0,35.1,95826,-0.09,9.594,10.599,0.203,-1.416,-0.653,36.937,36.562,35.246,0.13378,0.930409,-10.580001,-9.99239,-4.414431,9.492324,25.205385,-0.000769,-0.000769
44407,106,00:30.8,24,121,0,0,0,0,35.2,95826,-0.09,2.991,4.97,-1.637,-2.529,-0.979,37,36.625,35.261,0.254954,1.154639,-10.517762,-6.187302,-5.731557,0.292841,25.205385,-0.000769,-0.000769
44909,106,00:31.3,24,121,0,0,0,0,35.1,95818,0.618,14.892,19.016,4.97,2.587,2.486,36.937,36.625,35.243,0.365156,1.234473,-10.528285,-1.847396,-5.957886,5.647012,25.205385,-0.000769,-0.000769
45415,106,00:31.9,24,121,0,0,0,0,35.1,95810,1.321,-1.747,0.731,-3.905,-4.848,-2.755,36.937,36.687,35.243,0.166973,0.848698,-10.552087,-3.15263,-5.110953,-7.702085,25.205385,-0.000769,-0.000769
45916,106,00:32.4,24,121,0,0,0,0,33.1,95424,35.362,-8.885,-8.354,-9.289,-9.698,-6.434,37.125,36.937,35.075,-0.009513,0.653117,-10.564778,-4.580459,-6.096092,3.805627,25.205385,-0.000769,-0.000769
46425,105,00:32.9,24,121,0,0,0,0,35.1,95813,1.057,-4.138,-3.672,-5.693,-6.185,-3.905,37.062,36.75,35.264,0.061886,0.633805,-10.541005,-5.903897,-5.191392,5.753556,25.205385,-0.000769,-0.000769
46931,105,00:33.4,24,121,0,0,0,0,35.1,95804,1.85,-3.326,-2.755,-4.848,-5.45,-3.211,37.125,36.812,35.246,-0.052317,0.43608,-10.57728,-5.307107,-4.966773,4.583706,25.205385,-0.000769,-0.000769
47433,107,00:33.9,24,121,0,0,0,0,35.2,95809,1.411,-3.211,-2.755,-4.848,-5.208,-2.983,37.187,36.875,35.268,0.09715,0.522491,-10.557589,-6.057325,-5.190772,5.950075,25.205385,-0.000769,-0.000769
47934,107,00:34.4,24,121,0,0,0,0,35.1,95806,1.675,-6.309,-5.572,-8.354,-9.289,-6.559,37.187,36.937,35.246,0.091737,0.560833,-10.546423,-5.844082,-5.342459,6.745946,25.205385,-0.000769,-0.000769
48434,106,00:34.9,24,121,0,0,0,0,35.2,95807,1.585,-3.211,-2.983,-4.848,-5.208,-2.983,37.187,36.937,35.268,0.060719,0.518939,-10.54974,-5.934044,-5.233112,6.705423,25.205385,-0.000769,-0.000769
48943,106,00:35.4,24,121,0,0,0,0,35.2,95807,1.585,-4.729,-4.138,-6.434,-7.317,-4.848,37.062,36.937,35.254,0.087311,0.539531,-10.552282,-5.851504,-5.099561,6.657544,25.205385,-0.000769,-0.000769
49449,107,00:35.9,24,121,0,0,0,0,35.2,95800,2.204,-3.441,-2.869,-4.61,-5.208,-2.983,37.187,37,35.264,0.070804,0.537018,-10.530893,-5.83083,-5.183363,6.770953,25.205385,-0.000769,-0.000769
49957,107,00:36.4,24,121,0,0,0,0,35.2,95799,2.291,-3.096,-2.529,-4.374,-4.848,-2.642,37.125,36.937,35.25,0.053266,0.549446,-10.579098,-5.849916,-5.012003,6.78748,25.205385,-0.000769,-0.000769
50463,106,00:36.9,24,121,0,0,0,0,35.2,95816,0.793,-4.968,-4.374,-6.684,-7.317,-4.729,37.125,36.937,35.254,0.049682,0.522248,-10.526056,-5.85134,-5.053466,6.850417,25.205385,-0.000769,-0.000769
50968,106,00:37.4,24,121,0,0,0,0,33.7,95444,33.597,-5.693,-5.088,-7.702,-8.354,-5.816,37.187,37.125,35.318,0.057741,0.504587,-10.58371,-5.871997,-5.008824,6.685462,25.205385,-0.000769,-0.000769
51469,107,00:37.9,24,121,0,0,0,0,35.2,95802,2.027,-4.968,-4.492,-6.309,-6.935,-4.492,37.062,37.062,35.275,0.099381,0.478755,-10.511795,-5.887292,-5.10647,6.98944,25.205385,-0.000769,-0.000769
51975,107,00:38.4,24,121,0,0,0,0,35.3,95805,1.762,-4.492,-4.021,-6.062,-6.684,-4.256,37.125,37.062,35.271,0.098639,0.501908,-10.585167,-5.784554,-5.111494,6.681499,25.205385,-0.000769,-0.000769
52476,106,00:38.9,24,121,0,0,0,0,35.3,95808,1.498,-4.256,-3.905,-5.572,-6.309,-3.788,37.062,37.125,35.343,0.044959,0.524492,-10.530822,-5.881331,-5.256691,6.86829,25.205385,-0.000769,-0.000769
52981,106,00:39.4,24,121,0,0,0,0,35.3,95806,1.675,-4.968,-4.61,-6.559,-7.189,-4.729,37.062,37,35.393,0.036642,0.536164,-10.561862,-5.845883,-5.471354,6.810398,25.205385,-0.000769,-0.000769
53488,107,00:39.9,24,121,0,0,0,0,35.3,95805,1.762,33.491,46.715,17.616,12.313,9.41,37.062,37,35.343,0.054259,0.514128,-10.565314,-5.784196,-5.203294,6.800907,25.205385,-0.000769,-0.000769
53991,107,00:40.4,24,121,0,0,0,0,35.3,95815,0.883,-5.088,-3.672,-4.138,-4.492,-1.747,37,36.937,35.486,-0.001146,0.545761,-10.557952,-6.426899,-5.248806,6.702419,25.205385,-0.000769,-0.000769
54492,108,00:40.9,24,121,0,0,0,0,35.4,95819,0.528,38.819,67.12,13.829,7.175,5.456,36.937,36.937,35.457,0.003523,0.455421,-10.535851,-6.525989,-4.081728,6.007307,25.205385,-0.000769,-0.000769
54999,108,00:41.4,24,121,0,0,0,0,35.3,95812,1.147,-22.223,-36.482,-9.425,-8.223,-4.374,36.875,36.937,35.436,0.29682,0.809116,-10.61547,-13.363922,1.991978,10.33481,25.205385,-0.000769,-0.000769
55499,107,00:41.9,24,121,0,0,0,0,35.4,95814,0.97,-21.791,-20.745,-9.835,-9.698,-6.559,36.812,36.937,35.382,0.168559,0.857499,-10.552349,-3.159643,-10.374087,-0.722158,25.205385,-0.000769,-0.000769
56001,105,00:42.4,24,121,0,0,0,0,35.3,95807,1.585,-4.138,4.873,-5.329,-6.935,-4.848,36.812,36.937,35.461,-0.284875,0.491563,-10.546343,-4.828344,-7.533193,4.15871,25.205385,-0.000769,-0.000769
56508,105,00:42.9,24,121,0,0,0,0,35.3,95810,1.321,-2.529,-0.33,-3.556,-4.021,-2.08,36.75,36.937,35.346,-0.271183,0.335836,-10.524102,-5.379235,-5.18898,6.081137,25.205385,-0.000769,-0.000769
57015,107,00:43.5,24,121,0,0,0,0,35.4,95805,1.762,-4.492,-3.556,-6.185,-6.809,-4.256,36.75,36.937,35.343,-0.269147,0.389451,-10.52635,-5.86756,-5.038426,6.544138,25.205385,-0.000769,-0.000769
57515,107,00:44.0,24,121,0,0,0,0,35.3,95808,1.498,-4.848,-4.256,-6.809,-7.573,-5.329,36.812,36.937,35.404,-0.347375,0.227575,-10.586117,-4.759965,-6.024059,4.851386,25.205385,-0.000769,-0.000769
