3047: ReferencePressure(Pa): 24306
now (ms),fps,battery (V),gpsTime,gpsLat (deg),gpsLon (deg),gpsAlt (m),gpsCourse (deg),gpsCourse (cardinal),gpsSpeed (m/s),gpsSats,bmpTemp (deg C),bmpPressure (Pa),bmpAlm (m),thermistor0 (deg C),thermistor1 (deg C),thermistor2 (deg C),tmp0 (deg C),tmp1 (deg C),gyroTemp (deg C),accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),angVelX (deg/s),angVelY (deg/s),angVelZ (deg/s),magX (Gauss),magY (Gauss),magZ (Gauss),
3158,1,3.096,19:59:48.20,30.355770,-95.493499,0.000,0.000,N,0.000,0,-25.400,24309,-1.041,-27.59,-49.17,-48.28,0.000,0.000,-29.079,-11.178126,-0.076563,-0.880469,-91.478263,-67.060867,-2.156522,0.204615,0.410769,0.116923,
3264,1,3.093,19:59:48.30,30.355770,-95.493499,10760.600,0.000,N,0.000,3,-25.400,24307,-0.349,-27.59,-49.21,-48.32,0.000,0.000,-29.036,-11.101563,-0.229688,-0.535937,-91.895652,-65.530433,-4.521739,0.203077,0.399231,0.169231,
3371,1,3.092,19:59:48.40,30.355770,-95.493499,10760.600,0.000,N,0.000,3,-25.400,24313,-2.431,-27.54,-49.23,-48.32,0.000,0.000,82.143,-11.216407,-0.229688,-0.689063,0.000000,0.000000,0.000000,0.210769,0.373846,0.216923,
3481,1,3.090,19:59:48.50,30.355779,-95.493476,10759.600,0.000,N,0.000,4,-26.300,24154,52.890,-27.49,-49.22,-48.31,0.000,0.000,-29.589,-11.790626,-0.076563,-1.033594,-93.704345,-61.426086,-10.365218,0.219231,0.350000,0.249231,
3588,1,3.088,19:59:48.60,30.355779,-95.493476,10759.600,0.000,N,0.000,4,-25.400,24315,-3.123,-27.49,-49.21,-48.30,0.000,0.000,-29.311,-11.407814,-0.344531,-0.727344,-92.869567,-63.860870,-9.808696,0.228462,0.313077,0.300000,
3696,1,3.086,19:59:48.80,30.355779,-95.493476,10759.600,0.000,N,0.000,3,-25.400,24323,-5.898,-27.48,-49.22,-48.28,0.000,0.000,-29.171,-11.484375,-0.191406,-0.880469,-92.660865,-64.278259,-12.243478,0.238462,0.269231,0.330769,
3815,1,3.084,19:59:48.90,30.355779,-95.493476,10759.600,0.000,N,0.000,3,-25.400,24327,-7.287,-27.47,-49.21,-48.28,0.000,0.000,-28.796,-11.139844,-0.153125,-0.803906,-92.800003,-61.078262,-10.434783,0.257692,0.219231,0.361538,
3915,1,3.082,19:59:48.90,30.355779,-95.493476,10759.600,0.000,N,0.000,3,-25.400,24321,-5.205,-27.44,-49.18,-48.28,0.000,0.000,82.143,-11.025001,-0.153125,-0.918750,0.000000,0.000000,0.000000,0.270769,0.182308,0.383846,
4018,38,3.080,19:59:49.10,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-26.200,24215,31.633,-27.38,-49.15,-48.27,0.000,0.000,-29.346,-10.910157,-0.191406,-0.918750,-92.869567,-72.069564,-13.356522,0.290769,0.136923,0.387692,
4126,38,3.077,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24336,-10.405,-27.38,-49.15,-48.27,0.000,0.000,-28.854,-10.986720,-0.191406,-0.842187,-91.617393,-72.486953,-15.234783,0.318462,0.087692,0.379231,
4237,38,3.072,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24333,-9.364,-27.38,-49.10,-48.27,0.000,0.000,-28.929,-11.139844,-0.191406,-0.842187,-90.643478,-69.704345,-16.139129,0.349231,0.046154,0.372308,
4337,38,3.070,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24326,-6.939,-27.38,-49.10,-48.26,0.000,0.000,-28.779,-11.369532,-0.229688,-0.957031,-90.504348,-72.000000,-15.860870,0.373846,0.012308,0.351538,
4442,38,3.068,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24337,-10.754,-27.30,-48.96,-48.26,0.000,0.000,82.143,-11.292969,-0.191406,-0.842187,0.000000,0.000000,0.000000,0.404615,-0.022308,0.320000,
4554,38,3.064,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-26.000,24240,22.932,-27.22,-48.78,-48.22,0.000,0.000,-28.632,-11.522657,-0.114844,-1.071875,-90.713043,-70.539131,-22.399999,0.430000,-0.039231,0.281538,
4663,38,3.061,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24353,-16.303,-27.23,-48.78,-48.20,0.000,0.000,-29.154,-11.484375,-0.153125,-0.650781,-89.669563,-72.556518,-21.217391,0.450000,-0.050000,0.240769,
4771,38,3.059,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24352,-15.954,-27.23,-48.79,-48.19,0.000,0.000,-29.157,-11.560938,-0.191406,-0.842187,-88.208694,-69.495651,-17.878261,0.468462,-0.060769,0.203077,
4878,38,3.056,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24352,-15.954,-27.24,-48.81,-48.20,0.000,0.000,-28.832,-11.828907,-0.114844,-1.148437,-90.086959,-70.469566,-22.956521,0.479231,-0.053846,0.158462,
4986,38,3.054,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24360,-18.723,-27.25,-48.80,-48.18,0.000,0.000,82.143,-11.484375,-0.306250,-0.803906,0.000000,0.000000,0.000000,0.492308,-0.040000,0.114615,
5097,41,3.051,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-26.800,24330,-8.328,-27.25,-48.80,-48.18,0.000,0.000,-29.225,-11.867188,-0.306250,-0.765625,-88.973915,-62.747825,-20.243478,0.493846,-0.020769,0.084615,
5212,41,3.049,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24362,-19.421,-27.26,-48.82,-48.19,0.000,0.000,-29.418,-12.135157,-0.114844,-1.033594,-87.930435,-66.713043,-23.443477,0.493077,0.003846,0.043846,
5320,41,3.046,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24360,-18.723,-27.27,-48.84,-48.19,0.000,0.000,-28.032,-11.139844,-0.191406,-0.727344,-85.913040,-75.826087,-16.139129,0.478462,0.034615,0.006923,
5431,41,3.044,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24363,-19.764,-27.28,-48.84,-48.21,0.000,0.000,-29.514,-11.331251,-0.114844,-0.727344,-84.939132,-72.765220,-9.739130,0.476154,0.058462,-0.021538,
5533,41,3.042,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-25.400,24357,-17.687,-27.23,-48.78,-48.21,0.000,0.000,82.143,-11.369532,-0.153125,-0.957031,0.000000,0.000000,0.000000,0.465385,0.086923,-0.049231,
5638,41,3.039,19:59:49.20,30.355779,-95.493476,10759.600,0.000,N,0.000,0,-26.100,24284,7.639,-27.14,-48.67,-48.23,0.000,0.000,-28.854,-10.910157,-0.306250,-0.842187,-83.547828,-75.408699,-3.547826,0.447692,0.116923,-0.080769,
